Date,Date,Energy,diff,Energy_log,Energy_log_diff
1947-07-01,1947-07-01,6.5359,0.0,1.8773100575630564,0.04445663080003981
1947-08-01,1947-08-01,6.7167,0.18080000000000052,1.904596962491424,0.055355057850006606
1947-09-01,1947-09-01,6.8459,0.12919999999999998,1.9236499329314876,0.0622866677577254
1947-10-01,1947-10-01,6.8717,0.02579999999999938,1.9274115283157576,0.054072072095279644
1947-11-01,1947-11-01,6.9492,0.07750000000000057,1.9386265450376075,0.061316487474551096
1947-12-01,1947-12-01,7.285,0.3357999999999999,1.9858174396471682,0.10456772392232017
1948-01-01,1948-01-01,7.6467,0.3616999999999999,2.0342741822215213,0.1258434061897733
1948-02-01,1948-02-01,7.4659,-0.18079999999999963,2.0103459863496504,0.12124809256668145
1948-03-01,1948-03-01,7.4917,0.02579999999999938,2.013795741067885,0.13254602534303683
1948-04-01,1948-04-01,7.3367,-0.15499999999999936,1.992889150249308,0.11163943452446001
1948-05-01,1948-05-01,7.1817,-0.15500000000000025,1.971536123837052,0.09422606627399555
1948-06-01,1948-06-01,7.2334,0.05169999999999941,1.9787091884256933,0.10139913086263697
1948-07-01,1948-07-01,7.285,0.051600000000000534,1.9858174396471682,0.10850738208411181
1948-08-01,1948-08-01,7.4659,0.18090000000000028,2.0103459863496504,0.10574902385822638
1948-09-01,1948-09-01,7.595,0.12909999999999933,2.027490136047736,0.10384020311624842
1948-10-01,1948-10-01,7.6725,0.07750000000000057,2.0376425075117544,0.11023097919599678
1948-11-01,1948-11-01,7.7759,0.10339999999999971,2.051029206993142,0.1124026619555345
1948-12-01,1948-12-01,8.0859,0.3100000000000005,2.090121804087939,0.10430436444077062
1949-01-01,1949-01-01,8.2667,0.18079999999999963,2.112235396752762,0.0779612145312405
1949-02-01,1949-02-01,8.0859,-0.18079999999999963,2.090121804087939,0.07977581773828835
1949-03-01,1949-03-01,7.9825,-0.1034000000000006,2.0772516456068,0.06345590453891514
1949-04-01,1949-04-01,7.8017,-0.18079999999999963,2.0543416586661234,0.06145250841681538
1949-05-01,1949-05-01,7.6467,-0.15500000000000025,2.0342741822215213,0.06273805838446944
1949-06-01,1949-06-01,7.6984,0.0517000000000003,2.041012515060054,0.06230332663436067
1949-07-01,1949-07-01,7.8017,0.10329999999999995,2.0543416586661234,0.06852421901895522
1949-08-01,1949-08-01,7.9825,0.18079999999999963,2.0772516456068,0.06690565925714953
1949-09-01,1949-09-01,8.06,0.07750000000000057,2.086913556518537,0.05942342047080107
1949-10-01,1949-10-01,8.0084,-0.051600000000000534,2.0804909908154072,0.04284848330365287
1949-11-01,1949-11-01,8.215,0.2065999999999999,2.1059617514892315,0.05493254449608953
1949-12-01,1949-12-01,8.68,0.46499999999999986,2.1610215286722587,0.07089972458431992
1950-01-01,1950-01-01,9.0934,0.4134000000000011,2.2075488756585764,0.09531347890581454
1950-02-01,1950-02-01,8.8867,-0.20670000000000144,2.1845557770131525,0.09443397292521372
1950-03-01,1950-03-01,8.9384,0.0517000000000003,2.1903566022509913,0.11310495664419129
1950-04-01,1950-04-01,8.835,-0.10339999999999883,2.17872110577166,0.12437944710553639
1950-05-01,1950-05-01,8.8092,-0.025800000000000267,2.175796629922599,0.1415224477010777
1950-06-01,1950-06-01,8.8867,0.07749999999999879,2.1845557770131525,0.14354326195309852
1950-07-01,1950-07-01,8.9125,0.025800000000000267,2.1874547857404143,0.1331131270742909
1950-08-01,1950-08-01,9.1192,0.20669999999999966,2.2103820809404318,0.13313043533363178
1950-09-01,1950-09-01,9.2484,0.12920000000000087,2.224450563589811,0.1375370070712738
1950-10-01,1950-10-01,9.4034,0.15499999999999936,2.2410713260051724,0.16058033518976522
1950-11-01,1950-11-01,9.5325,0.1291000000000011,2.2547070127495816,0.14874526126035015
1950-12-01,1950-12-01,9.8684,0.33589999999999876,2.289337732908416,0.1283162042361572
1951-01-01,1951-01-01,10.4367,0.5683000000000007,2.345328440532878,0.13777956487430165
1951-02-01,1951-02-01,10.2817,-0.15499999999999936,2.330365616004771,0.1458098389916187
1951-03-01,1951-03-01,10.2817,0.0,2.330365616004771,0.14000901375377994
1951-04-01,1951-04-01,10.2559,-0.025800000000000267,2.3278531497407635,0.14913204396910373
1951-05-01,1951-05-01,10.0492,-0.20669999999999966,2.3074930293466287,0.13169639942402966
1951-06-01,1951-06-01,10.1784,0.1291999999999991,2.3202678278463535,0.13571205083320104
1951-07-01,1951-07-01,10.23,0.051600000000000534,2.325324579963535,0.13786979422312085
1951-08-01,1951-08-01,10.4625,0.23249999999999993,2.3477974358155937,0.137415354875162
1951-09-01,1951-09-01,10.5659,0.10339999999999883,2.3576318343778215,0.13318127078801067
1951-10-01,1951-10-01,10.4884,-0.07749999999999879,2.3502698845594563,0.10919855855428384
1951-11-01,1951-11-01,10.695,0.2065999999999999,2.369776342534369,0.11506932978478757
1951-12-01,1951-12-01,11.005,0.3100000000000005,2.398349714978425,0.10901198207000906
1952-01-01,1952-01-01,11.5475,0.5424999999999986,2.4464689633226233,0.10114052278974528
1952-02-01,1952-02-01,11.2892,-0.2583000000000002,2.4238465164835366,0.09348090047876534
1952-03-01,1952-03-01,11.2117,-0.07749999999999879,2.4169578758985435,0.08659225989377228
1952-04-01,1952-04-01,10.9275,-0.28420000000000023,2.3912825477553326,0.06342939801456904
1952-05-01,1952-05-01,10.7209,-0.2065999999999999,2.372195107342494,0.06470207799586536
1952-06-01,1952-06-01,10.7984,0.07750000000000057,2.379397975007005,0.05913014716065135
1952-07-01,1952-07-01,10.9792,0.18079999999999963,2.3960025736819937,0.07067799371845851
1952-08-01,1952-08-01,11.3409,0.361699999999999,2.4284156602297298,0.08061822441413602
1952-09-01,1952-09-01,11.5475,0.2065999999999999,2.4464689633226233,0.08883712894480178
1952-10-01,1952-10-01,11.5217,-0.025800000000000267,2.44423221382489,0.09396232926543391
1952-11-01,1952-11-01,11.625,0.10330000000000084,2.45315795147342,0.08338160893905089
1952-12-01,1952-12-01,12.0384,0.4133999999999993,2.4881015406845193,0.0897518257060943
1953-01-01,1953-01-01,12.4517,0.41330000000000133,2.521857159773874,0.07538819645125061
1953-02-01,1953-02-01,12.0642,-0.38750000000000107,2.4902423893775194,0.06639587289398285
1953-03-01,1953-03-01,12.1417,0.07750000000000057,2.496645808776583,0.07968793287803955
1953-04-01,1953-04-01,12.0642,-0.07750000000000057,2.4902423893775194,0.09895984162218685
1953-05-01,1953-05-01,11.9092,-0.15499999999999936,2.477311210666169,0.10511610332367516
1953-06-01,1953-06-01,12.0642,0.15499999999999936,2.4902423893775194,0.11084441437051451
1953-07-01,1953-07-01,12.245,0.18079999999999963,2.505117690404131,0.10911511672213736
1953-08-01,1953-08-01,12.4259,0.18090000000000117,2.519783003967079,0.09136734373734923
1953-09-01,1953-09-01,12.4259,0.0,2.519783003967079,0.07331404064445568
1953-10-01,1953-10-01,12.3225,-0.1034000000000006,2.5114268595973956,0.06719464577250545
1953-11-01,1953-11-01,12.245,-0.07750000000000057,2.505117690404131,0.05195973893071093
1953-12-01,1953-12-01,12.6584,0.4134000000000011,2.5383210264226364,0.050219485738117076
1954-01-01,1954-01-01,13.3559,0.6974999999999998,2.5919582347817403,0.07010107500786633
1954-02-01,1954-02-01,12.9942,-0.3617000000000008,2.564503104059143,0.07426071468162343
1954-03-01,1954-03-01,12.9425,-0.051699999999998525,2.5605164697939196,0.06387066101733652
1954-04-01,1954-04-01,12.7875,-0.15500000000000114,2.548468131277745,0.05822574190022545
